ticker,cik,company_name
AAPL,0000320193,Apple Inc.
ABBV,0001551152,AbbVie Inc.
ABT,0000001800,ABBOTT LABORATORIES
ADC,0000007754,
ADI,0000006281,ANALOG DEVICES INC
ADM,0000007084,Archer-Daniels-Midland Co
ADP,0000008670,AUTOMATIC DATA PROCESSING INC
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC
AES,0000874761,AES CORP
AFL,0000004977,AFLAC INC
AIG,0000005272,"AMERICAN INTERNATIONAL GROUP, INC."
AIZ,0001267238,"ASSURANT, INC."
AJG,0000354190,Arthur J. Gallagher & Co.
AKR,0000899629,ACADIA REALTY TRUST
ALB,0000915913,ALBEMARLE CORP
ALL,0001398344,
AMAT,0000006951,APPLIED MATERIALS INC /DE
AMGN,0000318154,AMGEN INC
AMP,0001258433,BATTERY INTELLIGENCE INC
AMPH,0001297184,"Amphastar Pharmaceuticals, Inc."
AMT,0001053507,AMERICAN TOWER CORP /MA/
AMZN,0001018724,AMAZON COM INC
ANDE,0000821026,"Andersons, Inc."
AON,0000315293,Aon plc
AOS,0000091142,SMITH A O CORP
APA,0000006769,APACHE CORP
APD,0000002969,"Air Products & Chemicals, Inc."
APH,0000820313,AMPHENOL CORP /DE/
APLE,0001517175,"Chefs' Warehouse, Inc."
ARCC,0001121901,"GLOBAL EARTH ENERGY, INC."
ARR,0001350868,NEWMAN HARVEY
ATO,0000731802,ATMOS ENERGY CORP
ATVI,0000718877,
AUB,0000883948,Atlantic Union Bankshares Corp
AVB,0000915912,AVALONBAY COMMUNITIES INC
AVGO,0001730168,Broadcom Inc.
AVK,0001219120,ADVENT CONVERTIBLE & INCOME FUND
AVY,0000008818,Avery Dennison Corp
AWK,0001410636,"American Water Works Company, Inc."
AWR,0000105770,WEST PHARMACEUTICAL SERVICES INC
AXP,0000004962,AMERICAN EXPRESS CO
AXS,0001214816,AXIS CAPITAL HOLDINGS LTD
AZO,0000866787,AUTOZONE INC
BA,0000012927,BOEING CO
BAC,0000070858,BANK OF AMERICA CORP /DE/
BBD,0001160330,BANK BRADESCO
BDN,0000790816,
BDX,0000010795,BECTON DICKINSON & CO
BEN,0000038777,FRANKLIN RESOURCES INC
BEP,0001533232,Brookfield Renewable Partners L.P.
BFS,0000907254,"SAUL CENTERS, INC."
BG,0001067983,BERKSHIRE HATHAWAY INC
BHV,0001169034,BLACKROCK VIRGINIA MUNICIPAL BOND TRUST
BIIB,0000875045,BIOGEN INC.
BK,0001390777,Bank of New York Mellon Corp
BKH,0001130464,BLACK HILLS CORP /SD/
